2009-12-29 15:11:05 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:05 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:05 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:05 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:05 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:05 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:09 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:09 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:09 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:09 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:09 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:10 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:16 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:16 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:23 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:23 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:11:23 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:11:23 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
